coursecode,sublist,techel
BIOL023,0,n
BIOL046,1,n
CHEM024,2,n
CHEM042,3,n
CSCI005,4,n
CSCI042,4,n
CORE079,5,n
CORE099,5,n
ENGR079,6,n
HSA010,7,n
MATH019,8,n
MATH073,9,n
PHYS023,10,n
PHYS024,11,n
PHYS050,12,n
WRIT001,13,n
