coursecode,sublist,techel
BRTH001,1,n
BRTH002,2,n
BRTH003,3,n
BRTH004,4,n
BRTH005,5,n
DPTH001,6,n
DPTH002,7,n
DPTH003,8,n
DPTH004,9,n
MUDD001,10,n
MUDD002,11,n
MUDD003,12,n
MUDD004,13,n
